KOR,MATH,GRADE
80,74,A
42,12,C
97,42,B
17,85,B
23,20,C
76,69,A
75,99,A
25,85,B
33,43,C
18,85,B
57,81,B
89,79,A
97,87,A
32,96,B
14,41,C
65,87,A
37,20,C
50,28,C
51,79,B
37,26,C
30,59,B
93,51,A
17,14,C
52,88,A
26,79,B
72,41,B
17,40,C
17,37,C
89,77,A
72,97,A
25,78,B
44,80,B
40,16,C
91,42,B
60,64,B
50,78,B
76,65,A
49,94,A
79,81,A
86,65,A
42,98,A
99,91,A
36,41,C
10,68,C
76,73,A
71,25,B
76,63,B
57,74,B
58,37,B
72,42,B
28,44,C
61,61,B
81,44,B
78,29,B
93,57,A
19,23,C
50,18,C
50,57,B
86,63,A
32,15,C
54,41,B
31,96,B
48,15,C
77,77,A
23,59,B
29,67,B
41,79,B
82,67,A
51,45,B
44,78,B
70,12,B
81,78,A
19,21,C
31,24,C
81,24,B
76,28,B
60,40,B
54,28,B
50,97,A
21,33,C
44,43,B
83,38,B
69,78,A
76,42,B
42,58,B
67,47,B
15,48,C
11,78,B
67,93,A
89,22,B
12,92,B
73,88,A
74,62,B
34,19,C
75,79,A
51,35,B
44,92,B
25,30,C
87,23,B
66,51,B
51,85,B
69,98,A
52,21,C
65,33,B
18,25,C
78,35,B
81,21,B
10,50,C
19,30,C
39,67,B
84,55,B
29,83,B
87,76,A
32,67,B
93,10,B
53,12,C
20,85,B
86,47,B
85,63,A
85,34,B
46,24,C
66,43,B
18,62,B
97,47,A
60,47,B
29,95,B
51,29,B
57,15,C
92,54,A
22,25,C
81,50,B
63,91,A
64,90,A
80,46,B
28,28,C
72,29,B
60,15,C
26,86,B
50,83,B
73,56,B
77,50,B
23,83,B
57,10,C
59,37,B
10,37,C
58,64,B
77,86,A
10,24,C
91,65,A
94,56,A
87,25,B
28,53,B
64,77,A
42,78,B
26,70,B
33,89,B
17,92,B
12,10,C
87,56,A
97,60,A
33,44,C
79,59,B
20,87,B
44,66,B
46,38,B
26,76,B
52,12,C
27,28,C
60,42,B
94,94,A
95,39,B
40,14,C
72,63,B
91,69,A
15,99,B
30,71,B
95,25,B
98,22,B
51,72,B
25,54,C
87,55,A
28,24,C
38,57,B
72,39,B
37,62,B
42,78,B
21,79,B
61,31,B
65,55,B
62,27,B
53,30,B
62,45,B
23,66,B
90,87,A
33,41,C
95,32,B
17,14,C
62,27,B
78,81,A
81,84,A
84,52,B
19,46,C
25,99,B
82,38,B
52,10,C
18,22,C
19,58,C
28,21,C
37,82,B
58,62,B
97,18,B
36,26,C
69,22,B
46,29,C
29,69,B
32,46,C
63,23,B
84,10,B
28,28,C
30,81,B
68,91,A
86,95,A
23,34,C
90,17,B
57,35,B
64,49,B
29,17,C
80,93,A
63,46,B
92,98,A
40,50,B
35,26,C
49,96,A
29,11,C
51,47,B
72,37,B
10,31,C
36,91,B
64,52,B
96,56,A
10,91,B
88,31,B
34,94,B
69,53,B
100,67,A
94,64,A
30,55,B
83,37,B
97,18,B
78,32,B
42,43,B
89,62,A
77,62,B
38,32,C
27,46,C
89,74,A
20,93,B
76,88,A
29,87,B
22,40,C
46,37,B
84,56,A
83,69,A
84,14,B
61,15,C
26,45,C
15,78,B
47,45,B
40,26,C
82,77,A
11,27,C
40,22,C
52,46,B
94,34,B
36,59,B
31,11,C
47,38,B
80,10,B
57,38,B
79,39,B
50,16,C
77,30,B
27,53,B
43,78,B
31,93,B
15,76,B
94,13,B
11,76,B
13,40,C
98,61,A
15,69,B
53,37,B
84,75,A
14,17,C
31,78,B
47,49,B
14,92,B
51,52,B
58,14,C
21,74,B
15,15,C
83,27,B
26,60,B
57,67,B
81,44,B
56,95,A
36,27,C
75,26,B
27,29,C
58,33,B
83,63,A
48,35,B
88,64,A
59,43,B
46,13,C
19,24,C
58,10,C
74,84,A
33,35,C
25,74,B
38,39,C
57,87,A
16,11,C
86,60,A
46,66,B
79,39,B
95,70,A
99,90,A
22,26,C
95,50,A
23,67,B
91,71,A
54,73,B
80,49,B
81,59,A
71,73,A
76,100,A
65,87,A
68,52,B
93,29,B
53,54,B
95,84,A
70,35,B
32,30,C
22,87,B
18,70,B
25,30,C
25,18,C
81,40,B
53,38,B
16,95,B
29,71,B
59,79,B
94,67,A
32,68,B
87,29,B
26,27,C
23,14,C
56,37,B
58,33,B
16,84,B
22,42,C
45,22,C
46,38,B
55,89,A
76,19,B
14,27,C
15,10,C
85,48,B
68,29,B
94,56,A
89,88,A
87,67,A
11,17,C
45,26,C
37,40,C
34,71,B
39,86,B
33,40,C
67,27,B
90,89,A
23,94,B
12,34,C
29,10,C
88,73,A
56,93,A
35,28,C
93,40,B
18,53,C
57,80,B
20,45,C
91,19,B
15,67,B
45,43,B
11,11,C
87,81,A
73,86,A
66,33,B
55,60,B
95,56,A
58,89,A
48,25,C
91,17,B
36,39,C
79,87,A
34,58,B
85,42,B
30,33,C
81,94,A
73,76,A
76,99,A
60,100,A
37,84,B
77,24,B
12,62,C
92,17,B
57,48,B
80,70,A
97,10,B
98,57,A
60,73,B
75,92,A
39,24,C
35,85,B
61,20,B
33,93,B
59,75,B
85,35,B
71,64,B
79,17,B
29,66,B
59,89,A
36,80,B
81,78,A
11,93,B
86,23,B
96,68,A
95,95,A
95,84,A
84,85,A
10,31,C
94,96,A
80,52,B
82,57,B
38,29,C
10,71,B
88,18,B
34,78,B
64,56,B
18,15,C
60,91,A
91,38,B
15,82,B
53,22,C
51,40,B
97,33,B
72,21,B
47,10,C
58,36,B
10,32,C
75,27,B
41,46,B
33,87,B
73,99,A
82,55,B
41,97,B
32,70,B
50,15,C
10,79,B
99,90,A
35,30,C
85,41,B
27,76,B
54,31,B
36,77,B
77,82,A
49,65,B
87,77,A
91,28,B
23,34,C
43,18,C
57,78,B
95,17,B
57,16,C
95,46,A
10,13,C
77,53,B
39,33,C
53,53,B
23,61,B
80,10,B
91,45,B
23,12,C
99,58,A
48,84,B
25,50,C
100,54,A
54,47,B
62,83,A
34,27,C
69,10,C
57,40,B
81,46,B
69,56,B
18,66,B
34,71,B
62,45,B
94,11,B
100,89,A
18,40,C
52,77,B
62,31,B
70,97,A
99,82,A
44,64,B
61,79,A
32,88,B
70,52,B
35,56,B
31,71,B
17,29,C
47,78,B
44,37,B
99,19,B
10,26,C
16,69,B
72,95,A
36,88,B
48,98,A
49,61,B
33,33,C
45,68,B
79,76,A
38,57,B
68,68,B
26,96,B
66,95,A
76,15,B
60,75,B
12,62,C
24,90,B
58,19,C
15,13,C
35,61,B
91,89,A
16,34,C
90,66,A
85,67,A
95,20,B
99,100,A
83,26,B
69,66,B
73,60,B
40,76,B
92,43,B
39,44,B
82,88,A
23,10,C
79,11,B
79,94,A
21,56,C
38,27,C
53,75,B
25,44,C
82,62,A
57,81,B
61,52,B
66,59,B
10,40,C
60,62,B
44,23,C
31,36,C
74,43,B
49,93,A
13,13,C
94,98,A
91,52,A
92,44,B
88,77,A
78,74,A
93,80,A
42,67,B
48,77,B
36,62,B
13,82,B
93,25,B
27,18,C
55,50,B
70,26,B
66,39,B
11,68,C
90,58,A
97,18,B
73,77,A
27,55,B
36,18,C
47,25,C
16,15,C
39,57,B
94,10,B
61,67,B
42,59,B
55,65,B
59,84,A
76,47,B
27,54,B
12,45,C
42,43,B
84,13,B
49,41,B
50,73,B
14,83,B
87,66,A
50,89,B
78,95,A
13,59,C
74,36,B
35,48,B
74,91,A
92,36,B
49,59,B
40,46,B
20,83,B
96,89,A
93,16,B
40,31,C
100,12,B
